"";"RecordNo";"Województwo";"RQ2";"Q4";"Q5";"Q6";"Q2";"company";"recomendation";"Age";"recomendations"
"451";1828;"wielkopolskie";"100-250";1990;"Średnie technicznezne";"techniczny";118;"Central Park";9;"31-35";"promoters"
"452";1838;"wielkopolskie";"100-250";1974;"Wyższe rolnicze";"główny agronom";250;"Central Park";9;"46-50";"promoters"
"453";1846;"wielkopolskie";"51-100";1979;"Średnie ogólne";"techniczny";83;"Central Park";1;"41-45";"detractors"
"454";1851;"wielkopolskie";"250+";1966;"Średnie ogólne";"techniczny";500;"Central Park";8;"51<";"neutral"
"455";1860;"wielkopolskie";">25";1987;"Średnie ogólne";"główny agronom";10;"Central Park";4;"31-35";"detractors"
"456";1863;"wielkopolskie";">25";1998;"Średnie ogólne";"techniczny";20;"Central Park";1;"<=25";"detractors"
"457";1866;"wielkopolskie";">25";1994;"Średnie ogólne";"techniczny";20;"Central Park";9;"26-30";"promoters"
"458";1869;"wielkopolskie";"100-250";1972;"Średnie ogólne";"główny agronom";175;"Central Park";2;"46-50";"detractors"
"459";1870;"wielkopolskie";"100-250";1997;"Średnie ogólne";"techniczny";111;"Central Park";7;"<=25";"neutral"
"460";1873;"wielkopolskie";"25-50";1986;"Średnie ogólne";"techniczny";29;"Central Park";10;"31-35";"promoters"
"461";1909;"wielkopolskie";"100-250";1975;"Średnie ogólne";"techniczny";115;"Central Park";4;"46-50";"detractors"
"462";1924;"wielkopolskie";"51-100";1995;"Średnie ogólne";"techniczny";66;"Central Park";7;"26-30";"neutral"
"463";1928;"wielkopolskie";"25-50";1968;"Średnie ogólne";"główny agronom";26;"Central Park";9;"51<";"promoters"
"464";1938;"zachodniopomorskie)";"51-100";1981;"Średnie technicznezne";"właściciel";87;"Central Park";5;"36-40";"detractors"
"465";1945;"zachodniopomorskie)";">25";1989;"Średnie ogólne";"główny agronom";15;"Central Park";9;"31-35";"promoters"
"466";1958;"zachodniopomorskie)";">25";1969;"Średnie ogólne";"dyrektor";21,4;"Central Park";7;"51<";"neutral"
"467";1959;"zachodniopomorskie)";"250+";1981;"Średnie ogólne";"techniczny";390;"Central Park";3;"36-40";"detractors"
"468";1963;"mazowieckie";"25-50";1963;"Średnie technicznezne";"agronom ekspert";36;"Central Park";4;"51<";"detractors"
"469";1966;"lubuskie";"51-100";1960;"Średnie technicznezne";"właściciel";84;"Central Park";4;"51<";"detractors"
"470";1969;"wielkopolskie";"25-50";1982;"Średnie technicznezne";"agronom ekspert";40;"Central Park";10;"36-40";"promoters"
"471";1973;"kujawsko-pomorskie";"51-100";1979;"Wyższe";"główny agronom";85;"Central Park";0;"41-45";NA
"472";1976;"łódzkie";">25";1973;"Średnie ogólne";"agronom ekspert";18;"Central Park";3;"46-50";"detractors"
"473";1977;"lubelskie";"51-100";1986;"Średnie ogólne";"właściciel";95;"Central Park";7;"31-35";"neutral"
"474";1978;"pomorskie";">25";1964;"Średnie technicznezne";"właściciel";11;"Central Park";1;"51<";"detractors"
"475";1983;"mazowieckie";"51-100";1966;"Średnie ogólne";"dyrektor";58;"Central Park";10;"51<";"promoters"
"476";1984;"podkarpackie";"25-50";1994;"Średnie ogólne";"właściciel";39;"Central Park";5;"26-30";"detractors"
"477";1987;"kujawsko-pomorskie";"250+";1968;"Średnie ogólne";"właściciel";1445;"Central Park";0;"51<";NA
"478";1988;"lubuskie";"25-50";1970;"Średnie ogólne";"właściciel";37;"Central Park";2;"51<";"detractors"
"479";1992;"dolnośląskie";"25-50";1981;"Średnie ogólne";"techniczny";39;"Central Park";5;"36-40";"detractors"
"480";1994;"wielkopolskie";">25";1977;"Średnie technicznezne";"agronom ekspert";23;"Central Park";7;"41-45";"neutral"
"481";1998;"wielkopolskie";"25-50";1976;"Średnie ogólne";"agronom ekspert";37;"Central Park";2;"41-45";"detractors"
"482";2001;"lubuskie";"51-100";1978;"Średnie ogólne";"techniczny";68;"Central Park";5;"41-45";"detractors"
"483";2004;"wielkopolskie";"51-100";1965;"Wyższe";"główny agronom";90;"Central Park";4;"51<";"detractors"
"484";2007;"wielkopolskie";">25";1970;"Średnie technicznezne";"właściciel";17;"Central Park";9;"51<";"promoters"
"485";2012;"małopolskie";"25-50";1971;"Średnie ogólne";"techniczny";35;"Central Park";4;"46-50";"detractors"
"486";2017;"śląskie";"51-100";1997;"Średnie ogólne";"agronom ekspert";72;"Central Park";3;"<=25";"detractors"
"487";2019;"wielkopolskie";"25-50";1982;"Średnie ogólne";"agronom ekspert";41;"Central Park";7;"36-40";"neutral"
"488";2021;"lubuskie";"250+";1968;"Średnie ogólne";"właściciel";2215;"Central Park";7;"51<";"neutral"
"489";2022;"wielkopolskie";">25";1969;"Średnie ogólne";"właściciel";18;"Central Park";2;"51<";"detractors"
"490";2023;"lubuskie";"51-100";1982;"Średnie ogólne";"techniczny";73;"Central Park";0;"36-40";NA
"491";2025;"pomorskie";"25-50";1973;"Średnie ogólne";"techniczny";46;"Central Park";6;"46-50";"detractors"
"492";2029;"dolnośląskie";"51-100";1986;"Średnie ogólne";"właściciel";99;"Central Park";2;"31-35";"detractors"
"493";2033;"kujawsko-pomorskie";">25";1971;"Średnie technicznezne";"techniczny";10;"Central Park";9;"46-50";"promoters"
"494";2037;"wielkopolskie";"51-100";1997;"Średnie ogólne";"techniczny";87;"Central Park";5;"<=25";"detractors"
"495";2040;"pomorskie";">25";1983;"Średnie ogólne";"agronom ekspert";12;"Central Park";10;"36-40";"promoters"
"496";2045;"podlaskie";"51-100";1980;"Średnie ogólne";"główny agronom";98;"Central Park";8;"41-45";"neutral"
"497";2049;"świętokrzyskie";"250+";1984;"Średnie ogólne";"dyrektor";2352;"Central Park";5;"36-40";"detractors"
"498";2051;"śląskie";"51-100";1984;"Średnie ogólne";"właściciel";60;"Central Park";7;"36-40";"neutral"
"499";2054;"opolskie";"51-100";1969;"Średnie technicznezne";"główny agronom";75;"Central Park";6;"51<";"detractors"
"500";2056;"lubelskie";"25-50";1955;"Średnie ogólne";"właściciel";37;"Central Park";0;"51<";NA
"501";2058;"zachodniopomorskie)";"51-100";1988;"Średnie ogólne";"główny agronom";98;"Central Park";6;"31-35";"detractors"
"502";2059;"podlaskie";"51-100";1975;"Średnie ogólne";"agronom ekspert";72;"Central Park";1;"46-50";"detractors"
"503";2060;"lubuskie";"100-250";1964;"Średnie technicznezne";"właściciel";160;"Central Park";4;"51<";"detractors"
"504";2063;"łódzkie";"51-100";1983;"Średnie technicznezne";"główny agronom";83;"Central Park";7;"36-40";"neutral"
"505";2064;"podlaskie";"51-100";1969;"Średnie technicznezne";"agronom ekspert";62;"Central Park";8;"51<";"neutral"
"506";2066;"mazowieckie";"250+";1990;"Średnie ogólne";"właściciel";1241;"Central Park";6;"31-35";"detractors"
"507";2068;"zachodniopomorskie)";">25";1986;"Średnie ogólne";"agronom ekspert";7;"Central Park";2;"31-35";"detractors"
"508";2073;"mazowieckie";">25";1967;"Średnie ogólne";"główny agronom";23;"Central Park";9;"51<";"promoters"
"509";2077;"podlaskie";"25-50";1983;"Średnie ogólne";"właściciel";47;"Central Park";4;"36-40";"detractors"
"510";2080;"podkarpackie";"100-250";1961;"Średnie ogólne";"główny agronom";232;"Central Park";4;"51<";"detractors"
"511";2083;"łódzkie";"25-50";1961;"Średnie ogólne";"agronom ekspert";28;"Central Park";1;"51<";"detractors"
"512";2085;"warmińsko-mazurskie";"51-100";1980;"Średnie ogólne";"główny agronom";59;"Central Park";8;"41-45";"neutral"
"513";2087;"podkarpackie";"25-50";1986;"Średnie ogólne";"agronom ekspert";33;"Central Park";4;"31-35";"detractors"
"514";2091;"świętokrzyskie";">25";1987;"Średnie ogólne";"główny agronom";16;"Central Park";6;"31-35";"detractors"
"515";2095;"kujawsko-pomorskie";"25-50";1992;"Średnie ogólne";"główny agronom";41;"Central Park";10;"26-30";"promoters"
"516";2097;"lubuskie";"51-100";1971;"Średnie ogólne";"techniczny";96;"Central Park";2;"46-50";"detractors"
"517";2100;"wielkopolskie";"51-100";1974;"Średnie technicznezne";"techniczny";74;"Central Park";2;"46-50";"detractors"
"518";2102;"mazowieckie";"51-100";1971;"Średnie ogólne";"dyrektor";77;"Central Park";6;"46-50";"detractors"
"519";2105;"mazowieckie";">25";1960;"Średnie ogólne";"właściciel";22;"Central Park";0;"51<";NA
"520";2107;"podlaskie";">25";1990;"Średnie ogólne";"właściciel";5;"Central Park";6;"31-35";"detractors"
"521";2110;"podlaskie";"25-50";1998;"Średnie ogólne";"techniczny";45;"Central Park";3;"<=25";"detractors"
"522";2114;"wielkopolskie";"51-100";1998;"Średnie technicznezne";"główny agronom";97;"Central Park";6;"<=25";"detractors"
"523";2117;"mazowieckie";"51-100";1996;"Średnie ogólne";"techniczny";73;"Central Park";9;"<=25";"promoters"
"524";2118;"opolskie";"100-250";1985;"Średnie ogólne";"techniczny";108;"Central Park";3;"36-40";"detractors"
"525";2120;"wielkopolskie";">25";1978;"Średnie ogólne";"właściciel";8;"Central Park";8;"41-45";"neutral"
"526";2125;"kujawsko-pomorskie";"25-50";1977;"Średnie ogólne";"właściciel";42;"Central Park";5;"41-45";"detractors"
"527";2128;"mazowieckie";">25";1968;"Średnie ogólne";"główny agronom";15;"Central Park";4;"51<";"detractors"
"528";2130;"wielkopolskie";"51-100";1974;"Średnie ogólne";"główny agronom";66;"Central Park";1;"46-50";"detractors"
"529";2132;"kujawsko-pomorskie";"25-50";1973;"Średnie technicznezne";"właściciel";44;"Central Park";3;"46-50";"detractors"
"530";2136;"dolnośląskie";"51-100";1971;"Średnie technicznezne";"właściciel";80;"Central Park";6;"46-50";"detractors"
"531";2138;"dolnośląskie";"51-100";1981;"Średnie ogólne";"agronom ekspert";76;"Central Park";3;"36-40";"detractors"
"532";2141;"lubuskie";"25-50";1994;"Średnie ogólne";"główny agronom";48;"Central Park";7;"26-30";"neutral"
"533";2143;"małopolskie";"25-50";1975;"Wyższe rolnicze";"właściciel";42;"Central Park";7;"46-50";"neutral"
"534";2146;"dolnośląskie";"25-50";1967;"Średnie ogólne";"agronom ekspert";34;"Central Park";3;"51<";"detractors"
"535";2147;"świętokrzyskie";"51-100";1964;"Średnie ogólne";"agronom ekspert";73;"Central Park";10;"51<";"promoters"
"536";2151;"lubuskie";"25-50";1954;"Średnie ogólne";"właściciel";26;"Central Park";6;"51<";"detractors"
"537";1135;"dolnośląskie";"100-250";1969;"Średnie ogólne";"właściciel";140;"Cyberdyne";3;"51<";"detractors"
"538";1136;"dolnośląskie";"100-250";1987;"Średnie technicznezne";"właściciel";145;"Cyberdyne";1;"31-35";"detractors"
"539";1137;"dolnośląskie";"100-250";1977;"Średnie technicznezne";"agronom ekspert";200;"Cyberdyne";10;"41-45";"promoters"
"540";1141;"dolnośląskie";">25";1989;"Średnie ogólne";"agronom ekspert";8;"Cyberdyne";9;"31-35";"promoters"
"541";1143;"dolnośląskie";"100-250";1992;"Średnie ogólne";"główny agronom";150;"Cyberdyne";9;"26-30";"promoters"
"542";1145;"dolnośląskie";"51-100";1982;"Wyższe";"właściciel";100;"Cyberdyne";5;"36-40";"detractors"
"543";1150;"dolnośląskie";"25-50";1978;"Średnie technicznezne";"dyrektor";30,01;"Cyberdyne";7;"41-45";"neutral"
"544";1151;"dolnośląskie";"100-250";1981;"Średnie ogólne";"dyrektor";250;"Cyberdyne";4;"36-40";"detractors"
"545";1154;"dolnośląskie";"100-250";1965;"Średnie technicznezne";"agronom ekspert";180;"Cyberdyne";5;"51<";"detractors"
"546";1159;"dolnośląskie";"250+";1977;"Średnie ogólne";"główny agronom";350;"Cyberdyne";5;"41-45";"detractors"
"547";1160;"dolnośląskie";"100-250";1988;"Wyższe";"właściciel";117;"Cyberdyne";3;"31-35";"detractors"
"548";1167;"dolnośląskie";">25";1992;"Średnie technicznezne";"główny agronom";25;"Cyberdyne";10;"26-30";"promoters"
"549";1168;"dolnośląskie";">25";1973;"Średnie ogólne";"agronom ekspert";20;"Cyberdyne";5;"46-50";"detractors"
"550";1169;"dolnośląskie";"250+";1964;"Średnie technicznezne";"właściciel";340;"Cyberdyne";8;"51<";"neutral"
"551";1173;"kujawsko-pomorskie";">25";1974;"Średnie technicznezne";"agronom ekspert";23;"Cyberdyne";4;"46-50";"detractors"
"552";1174;"kujawsko-pomorskie";"250+";1992;"Średnie ogólne";"główny agronom";455;"Cyberdyne";9;"26-30";"promoters"
"553";1176;"kujawsko-pomorskie";"25-50";1969;"Średnie technicznezne";"główny agronom";30;"Cyberdyne";3;"51<";"detractors"
"554";1177;"kujawsko-pomorskie";">25";1960;"Średnie ogólne";"właściciel";15;"Cyberdyne";3;"51<";"detractors"
"555";1178;"kujawsko-pomorskie";"25-50";1990;"Średnie ogólne";"właściciel";33;"Cyberdyne";8;"31-35";"neutral"
"556";1183;"kujawsko-pomorskie";">25";1973;"Wyższe";"właściciel";18;"Cyberdyne";2;"46-50";"detractors"
"557";1187;"kujawsko-pomorskie";"250+";1972;"Średnie technicznezne";"właściciel";500;"Cyberdyne";9;"46-50";"promoters"
"558";1191;"kujawsko-pomorskie";">25";1956;"Wyższe";"dyrektor";7;"Cyberdyne";4;"51<";"detractors"
"559";1200;"kujawsko-pomorskie";"25-50";1975;"Średnie technicznezne";"właściciel";34;"Cyberdyne";3;"46-50";"detractors"
"560";1202;"kujawsko-pomorskie";"250+";1977;"Średnie ogólne";"główny agronom";636,5;"Cyberdyne";7;"41-45";"neutral"
"561";1203;"kujawsko-pomorskie";"100-250";1963;"Średnie technicznezne";"agronom ekspert";180,01;"Cyberdyne";3;"51<";"detractors"
"562";1218;"kujawsko-pomorskie";"25-50";1995;"Średnie ogólne";"główny agronom";41;"Cyberdyne";7;"26-30";"neutral"
"563";1221;"kujawsko-pomorskie";">25";1987;"Średnie technicznezne";"agronom ekspert";18;"Cyberdyne";8;"31-35";"neutral"
"564";1223;"kujawsko-pomorskie";"100-250";1970;"Średnie technicznezne";"właściciel";250;"Cyberdyne";5;"51<";"detractors"
"565";1230;"kujawsko-pomorskie";">25";1984;"Średnie ogólne";"agronom ekspert";21;"Cyberdyne";5;"36-40";"detractors"
"566";1233;"kujawsko-pomorskie";"250+";1973;"Średnie technicznezne";"właściciel";534;"Cyberdyne";0;"46-50";NA
"567";1234;"kujawsko-pomorskie";"100-250";1973;"Wyższe";"główny agronom";120;"Cyberdyne";9;"46-50";"promoters"
"568";1236;"kujawsko-pomorskie";"51-100";1967;"Średnie ogólne";"właściciel";100;"Cyberdyne";9;"51<";"promoters"
"569";1241;"kujawsko-pomorskie";"100-250";1972;"Średnie ogólne";"właściciel";135;"Cyberdyne";3;"46-50";"detractors"
"570";1242;"kujawsko-pomorskie";"250+";1945;"Średnie technicznezne";"właściciel";448;"Cyberdyne";9;"51<";"promoters"
"571";1251;"kujawsko-pomorskie";"250+";1979;"Średnie ogólne";"agronom ekspert";1280;"Cyberdyne";6;"41-45";"detractors"
"572";1253;"kujawsko-pomorskie";">25";1998;"Średnie technicznezne";"główny agronom";5;"Cyberdyne";8;"<=25";"neutral"
"573";1256;"lubelskie";"100-250";1999;"Średnie ogólne";"dyrektor";150,01;"Cyberdyne";1;"<=25";"detractors"
"574";1261;"lubelskie";"25-50";1960;"Średnie technicznezne";"właściciel";50;"Cyberdyne";2;"51<";"detractors"
"575";1271;"lubelskie";">25";1972;"Średnie ogólne";"techniczny";10;"Cyberdyne";7;"46-50";"neutral"
"576";1272;"lubelskie";"25-50";1979;"Wyższe";"agronom ekspert";40;"Cyberdyne";6;"41-45";"detractors"
"577";1279;"lubelskie";"250+";1986;"Średnie ogólne";"właściciel";700,1;"Cyberdyne";6;"31-35";"detractors"
"578";1280;"lubelskie";"51-100";1975;"Średnie ogólne";"agronom ekspert";68;"Cyberdyne";10;"46-50";"promoters"
"579";1282;"lubelskie";"250+";1983;"Średnie ogólne";"właściciel";330;"Cyberdyne";8;"36-40";"neutral"
"580";1286;"lubelskie";"25-50";1956;"Średnie ogólne";"główny agronom";50;"Cyberdyne";3;"51<";"detractors"
"581";1287;"lubelskie";"100-250";1974;"Średnie technicznezne";"techniczny";121;"Cyberdyne";5;"46-50";"detractors"
"582";1288;"lubelskie";">25";1977;"Średnie technicznezne";"właściciel";6;"Cyberdyne";4;"41-45";"detractors"
"583";1291;"lubelskie";"250+";1963;"Średnie ogólne";"właściciel";500;"Cyberdyne";9;"51<";"promoters"
"584";1292;"lubelskie";"100-250";1964;"Średnie technicznezne";"właściciel";125;"Cyberdyne";5;"51<";"detractors"
"585";1293;"lubelskie";"250+";1994;"Średnie ogólne";"dyrektor";420;"Cyberdyne";5;"26-30";"detractors"
"586";1294;"lubuskie";"25-50";1990;"Średnie ogólne";"główny agronom";27;"Cyberdyne";10;"31-35";"promoters"
"587";1295;"lubuskie";"100-250";1985;"Średnie ogólne";"właściciel";180;"Cyberdyne";1;"36-40";"detractors"
"588";1301;"lubuskie";"250+";1988;"Średnie ogólne";"właściciel";315;"Cyberdyne";8;"31-35";"neutral"
"589";1304;"lubuskie";"25-50";1984;"Średnie ogólne";"właściciel";35;"Cyberdyne";2;"36-40";"detractors"
"590";1311;"lubuskie";"100-250";1989;"Średnie technicznezne";"właściciel";126;"Cyberdyne";8;"31-35";"neutral"
"591";1316;"lubuskie";"100-250";1960;"Średnie ogólne";"właściciel";156,01;"Cyberdyne";7;"51<";"neutral"
"592";1319;"lubuskie";"100-250";1968;"Średnie ogólne";"agronom ekspert";130;"Cyberdyne";5;"51<";"detractors"
"593";1322;"lubuskie";"51-100";1959;"Średnie technicznezne";"właściciel";65;"Cyberdyne";6;"51<";"detractors"
"594";1323;"lubuskie";"100-250";1991;"Średnie ogólne";"właściciel";170;"Cyberdyne";9;"26-30";"promoters"
"595";1327;"lubuskie";"25-50";1961;"Średnie ogólne";"główny agronom";31;"Cyberdyne";9;"51<";"promoters"
"596";1329;"lubuskie";"25-50";1987;"Wyższe";"właściciel";50;"Cyberdyne";7;"31-35";"neutral"
"597";1336;"lubuskie";">25";1994;"Średnie ogólne";"właściciel";7;"Cyberdyne";0;"26-30";NA
"598";1339;"lubuskie";">25";1964;"Średnie ogólne";"główny agronom";8;"Cyberdyne";10;"51<";"promoters"
"599";1342;"lubuskie";">25";1955;"Średnie ogólne";"właściciel";5;"Cyberdyne";1;"51<";"detractors"
"600";1344;"lubuskie";"250+";1980;"Średnie ogólne";"główny agronom";450,1;"Cyberdyne";2;"41-45";"detractors"
"601";1356;"lubuskie";"51-100";1957;"Średnie ogólne";"dyrektor";100;"Cyberdyne";9;"51<";"promoters"
"602";1357;"lubuskie";"51-100";1968;"Średnie ogólne";"dyrektor";55;"Cyberdyne";3;"51<";"detractors"
"603";1358;"łódzkie";"100-250";1966;"Średnie technicznezne";"dyrektor";200;"Cyberdyne";2;"51<";"detractors"
"604";1360;"łódzkie";"250+";1962;"Średnie ogólne";"właściciel";406;"Cyberdyne";5;"51<";"detractors"
"605";1364;"łódzkie";"51-100";1976;"Średnie ogólne";"właściciel";100;"Cyberdyne";10;"41-45";"promoters"
"606";1368;"łódzkie";">25";1971;"Średnie technicznezne";"techniczny";22;"Cyberdyne";1;"46-50";"detractors"
"607";1371;"łódzkie";"25-50";1973;"Średnie ogólne";"techniczny";45;"Cyberdyne";3;"46-50";"detractors"
"608";1375;"łódzkie";">25";1984;"Średnie ogólne";"dyrektor";22,55;"Cyberdyne";3;"36-40";"detractors"
"609";1377;"łódzkie";">25";1966;"Średnie ogólne";"dyrektor";10;"Cyberdyne";6;"51<";"detractors"
"610";1382;"łódzkie";">25";1971;"Średnie ogólne";"techniczny";7;"Cyberdyne";8;"46-50";"neutral"
"611";1387;"małopolskie";">25";1995;"Średnie ogólne";"właściciel";25;"Cyberdyne";1;"26-30";"detractors"
"612";1388;"małopolskie";"51-100";1960;"Średnie ogólne";"techniczny";70;"Cyberdyne";5;"51<";"detractors"
"613";1393;"małopolskie";">25";1976;"Wyższe rolnicze";"właściciel";20;"Cyberdyne";9;"41-45";"promoters"
"614";1397;"małopolskie";"250+";1965;"Wyższe";"główny agronom";670;"Cyberdyne";2;"51<";"detractors"
"615";1399;"małopolskie";"100-250";1984;"Średnie ogólne";"właściciel";105;"Cyberdyne";4;"36-40";"detractors"
"616";1403;"małopolskie";"250+";1983;"Średnie ogólne";"właściciel";1100;"Cyberdyne";10;"36-40";"promoters"
"617";1404;"małopolskie";">25";1966;"Średnie ogólne";"właściciel";6;"Cyberdyne";1;"51<";"detractors"
"618";1406;"mazowieckie";"250+";1958;"Średnie ogólne";"agronom ekspert";270;"Cyberdyne";4;"51<";"detractors"
"619";1410;"mazowieckie";">25";1975;"Średnie ogólne";"właściciel";25;"Cyberdyne";10;"46-50";"promoters"
"620";1412;"mazowieckie";"250+";1961;"Średnie ogólne";"agronom ekspert";290;"Cyberdyne";3;"51<";"detractors"
"621";1413;"mazowieckie";"100-250";1961;"Średnie ogólne";"agronom ekspert";167;"Cyberdyne";9;"51<";"promoters"
"622";1415;"mazowieckie";"51-100";1966;"Średnie ogólne";"agronom ekspert";67;"Cyberdyne";8;"51<";"neutral"
"623";1419;"mazowieckie";">25";1975;"Średnie ogólne";"agronom ekspert";10;"Cyberdyne";1;"46-50";"detractors"
"624";1424;"mazowieckie";"250+";1970;"Średnie ogólne";"właściciel";1350;"Cyberdyne";4;"51<";"detractors"
"625";1430;"mazowieckie";"250+";1971;"Średnie ogólne";"techniczny";3500;"Cyberdyne";1;"46-50";"detractors"
"626";1438;"mazowieckie";"100-250";1981;"Średnie technicznezne";"główny agronom";200;"Cyberdyne";9;"36-40";"promoters"
"627";1439;"mazowieckie";"25-50";1969;"Średnie technicznezne";"agronom ekspert";35,6;"Cyberdyne";6;"51<";"detractors"
"628";1440;"mazowieckie";"100-250";1982;"Średnie ogólne";"agronom ekspert";100,1;"Cyberdyne";10;"36-40";"promoters"
"629";1442;"mazowieckie";"250+";1978;"Średnie ogólne";"techniczny";500;"Cyberdyne";1;"41-45";"detractors"
"630";1450;"mazowieckie";">25";1972;"Średnie ogólne";"agronom ekspert";20;"Cyberdyne";6;"46-50";"detractors"
"631";1451;"mazowieckie";"51-100";1983;"Średnie technicznezne";"główny agronom";100;"Cyberdyne";6;"36-40";"detractors"
"632";1458;"mazowieckie";"250+";1981;"Średnie ogólne";"techniczny";950;"Cyberdyne";9;"36-40";"promoters"
"633";1462;"mazowieckie";">25";1975;"Średnie ogólne";"dyrektor";5;"Cyberdyne";0;"46-50";NA
"634";1469;"mazowieckie";">25";1971;"Średnie ogólne";"właściciel";23,5;"Cyberdyne";8;"46-50";"neutral"
"635";1475;"mazowieckie";"100-250";1977;"Średnie technicznezne";"agronom ekspert";220;"Cyberdyne";5;"41-45";"detractors"
"636";1476;"mazowieckie";"250+";1966;"Średnie ogólne";"główny agronom";1000;"Cyberdyne";7;"51<";"neutral"
"637";1477;"mazowieckie";">25";1976;"Średnie ogólne";"główny agronom";5;"Cyberdyne";4;"41-45";"detractors"
"638";1485;"mazowieckie";"25-50";1982;"Średnie technicznezne";"agronom ekspert";28;"Cyberdyne";4;"36-40";"detractors"
"639";1486;"mazowieckie";"250+";1987;"Średnie ogólne";"właściciel";1000;"Cyberdyne";8;"31-35";"neutral"
"640";1488;"mazowieckie";"100-250";1962;"Średnie ogólne";"właściciel";123;"Cyberdyne";1;"51<";"detractors"
"641";1490;"mazowieckie";"100-250";1973;"Średnie technicznezne";"techniczny";110;"Cyberdyne";9;"46-50";"promoters"
"642";1491;"opolskie";"51-100";1968;"Średnie ogólne";"właściciel";100;"Cyberdyne";10;"51<";"promoters"
"643";1501;"opolskie";"100-250";1966;"Średnie ogólne";"techniczny";154;"Cyberdyne";10;"51<";"promoters"
"644";1503;"opolskie";"51-100";1967;"Średnie ogólne";"agronom ekspert";90;"Cyberdyne";7;"51<";"neutral"
"645";1504;"opolskie";"100-250";1967;"Średnie ogólne";"główny agronom";103;"Cyberdyne";8;"51<";"neutral"
"646";1508;"opolskie";"100-250";1976;"Średnie ogólne";"agronom ekspert";165;"Cyberdyne";9;"41-45";"promoters"
"647";1514;"opolskie";"25-50";1989;"Średnie ogólne";"właściciel";30,5;"Cyberdyne";9;"31-35";"promoters"
"648";1525;"opolskie";"25-50";1936;"Średnie ogólne";"właściciel";50;"Cyberdyne";7;"51<";"neutral"
"649";1529;"opolskie";"100-250";1966;"Średnie ogólne";"główny agronom";210;"Cyberdyne";9;"51<";"promoters"
"650";1531;"opolskie";"100-250";1981;"Średnie ogólne";"właściciel";101;"Cyberdyne";2;"36-40";"detractors"
"651";1540;"opolskie";"250+";1954;"Średnie ogólne";"właściciel";370;"Cyberdyne";2;"51<";"detractors"
"652";1543;"podkarpackie";"100-250";1979;"Wyższe";"główny agronom";200;"Cyberdyne";1;"41-45";"detractors"
"653";1545;"podkarpackie";">25";1971;"Średnie ogólne";"właściciel";10;"Cyberdyne";5;"46-50";"detractors"
"654";1546;"podkarpackie";"25-50";1964;"Średnie ogólne";"główny agronom";48;"Cyberdyne";5;"51<";"detractors"
"655";1548;"podkarpackie";"100-250";1982;"Średnie ogólne";"techniczny";138;"Cyberdyne";10;"36-40";"promoters"
"656";1562;"podkarpackie";">25";1988;"Średnie technicznezne";"właściciel";8;"Cyberdyne";8;"31-35";"neutral"
"657";1567;"podkarpackie";">25";1992;"Średnie ogólne";"właściciel";8;"Cyberdyne";9;"26-30";"promoters"
"658";1575;"podkarpackie";"250+";1975;"Średnie ogólne";"dyrektor";550;"Cyberdyne";4;"46-50";"detractors"
"659";1578;"podkarpackie";"250+";1960;"Średnie ogólne";"właściciel";460;"Cyberdyne";4;"51<";"detractors"
"660";1581;"podkarpackie";"100-250";1971;"Średnie ogólne";"właściciel";124;"Cyberdyne";2;"46-50";"detractors"
"661";1583;"podkarpackie";"51-100";1983;"Średnie ogólne";"główny agronom";65,1;"Cyberdyne";5;"36-40";"detractors"
"662";1588;"podlaskie";">25";1986;"Średnie ogólne";"agronom ekspert";8;"Cyberdyne";4;"31-35";"detractors"
"663";1589;"podlaskie";"51-100";1978;"Średnie ogólne";"właściciel";75;"Cyberdyne";3;"41-45";"detractors"
"664";1591;"podlaskie";"51-100";1990;"Średnie ogólne";"właściciel";56;"Cyberdyne";5;"31-35";"detractors"
"665";1593;"podlaskie";"51-100";1980;"Średnie ogólne";"agronom ekspert";55,33;"Cyberdyne";8;"41-45";"neutral"
"666";1594;"podlaskie";"250+";1971;"Średnie ogólne";"dyrektor";600;"Cyberdyne";3;"46-50";"detractors"
"667";1599;"podlaskie";"250+";1988;"Średnie ogólne";"techniczny";2774;"Cyberdyne";1;"31-35";"detractors"
"668";1604;"podlaskie";"51-100";1962;"Średnie ogólne";"agronom ekspert";100;"Cyberdyne";9;"51<";"promoters"
"669";1605;"podlaskie";"51-100";1956;"Średnie ogólne";"agronom ekspert";85;"Cyberdyne";6;"51<";"detractors"
"670";1612;"podlaskie";"51-100";1958;"Średnie ogólne";"główny agronom";62;"Cyberdyne";1;"51<";"detractors"
"671";1615;"podlaskie";"250+";1977;"Średnie ogólne";"właściciel";321;"Cyberdyne";7;"41-45";"neutral"
"672";1626;"podlaskie";"25-50";1965;"Średnie ogólne";"właściciel";36;"Cyberdyne";1;"51<";"detractors"
"673";1629;"podlaskie";"250+";1974;"Średnie ogólne";"główny agronom";600,01;"Cyberdyne";2;"46-50";"detractors"
"674";1633;"podlaskie";">25";1984;"Średnie ogólne";"właściciel";10;"Cyberdyne";4;"36-40";"detractors"
"675";1634;"pomorskie";">25";1997;"Średnie ogólne";"agronom ekspert";15;"Cyberdyne";8;"<=25";"neutral"
"676";1638;"pomorskie";"100-250";1987;"Średnie ogólne";"właściciel";118,22;"Cyberdyne";4;"31-35";"detractors"
